RoadID,RoadSegmentID,RoadDescription,SegmentDescription,LatLong,Outbound1,PC1,Outbound2,PC2,Outbound3,PC3,Outbound4,PC4
219-00566,40504,Pracharatrat Sai 2 Rd,แยกวัดสะพานสูงบางซื่อ - 566,"13.80454, 100.53589",219-00566,40503,out,,,,,
219-00566,40503,Pracharatrat Sai 2 Rd,แยกประชาชื่น 566,"13.80572, 100.53325",219-00566,40502,out,,,,,
219-00566,40502,Pracharatrat Sai 2 Rd,แยกเตาปูน 566,"13.80635, 100.53082",219-00566,40501,out,,,,,
219-00566,40501,Pracharatrat Sai 2 Rd,แยกบางโพ 566,"13.80642, 100.52155",219-00566,40500,,,,,,
219-00566,40500,Pracharatrat Sai 2 Rd,อาคารระบายน้ำคลองเปรมประชากร,"13.8065, 100.51928",219-00566,,,,,,,
219+00566,40500,Pracharatrat Sai 2 Rd,อาคารระบายน้ำคลองเปรมประชากร,"13.8065, 100.51928",219+00566,40501,out,,,,,
219+00566,40501,Pracharatrat Sai 2 Rd,แยกบางโพ 566,"13.80642, 100.52155",219+00566,40502,,,,,,
219+00566,40502,Pracharatrat Sai 2 Rd,แยกเตาปูน 566,"13.80635, 100.53082",219+00566,40503,,,,,,
219+00566,40503,Pracharatrat Sai 2 Rd,แยกประชาชื่น 566,"13.80572, 100.53325",219+00566,40504,out,,,,,
219+00566,40504,Pracharatrat Sai 2 Rd,แยกวัดสะพานสูงบางซื่อ - 566,"13.80454, 100.53589",219+00566,,out,,,,,
219-00567,41007,Bangkok-Nonthaburi Road,แยกวงศ์สว่าง - 567,"13.82828, 100.52844",219-00567,41006,,,,,,
219-00567,41006,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนทบุรี 44,"13.82592, 100.53135",219-00567,41005,,,,,,
219-00567,41005,Bangkok-Nonthaburi Road,ซอยดอกส้ม,"13.82249, 100.53282",219-00567,41004,out,,,,,
219-00567,41004,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนทบุรี 32,"13.81858, 100.53237",219-00567,41003,out,,,,,
219-00567,41003,Bangkok-Nonthaburi Road,ประชาชื่น 16,"13.81592, 100.53206",219-00567,41002,out,,,,,
219-00567,41002,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนทบุรี 13,"13.81275, 100.53163",219-00567,41001,out,,,,,
219-00567,41001,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนทบุรี 5,"13.81031, 100.53131",219-00567,41000,out,,,,,
219-00567,41000,Bangkok-Nonthaburi Road,แยกเตาปูน 567,"13.80635, 100.53082",219-00567,,out,,,,,
219+00567,41000,Bangkok-Nonthaburi Road,แยกเตาปูน 567,"13.80635, 100.53082",219+00567,41001,out,,,,,
219+00567,41001,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนทบุรี 5,"13.81031, 100.53131",219+00567,41002,out,,,,,
219+00567,41002,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนทบุรี 13,"13.81275, 100.53163",219+00567,41003,out,,,,,
219+00567,41003,Bangkok-Nonthaburi Road,ประชาชื่น 16,"13.81592, 100.53206",219+00567,41004,out,,,,,
219+00567,41004,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนทบุรี 32,"13.81858, 100.53237",219+00567,41005,out,,,,,
219+00567,41005,Bangkok-Nonthaburi Road,ซอยดอกส้ม,"13.82249, 100.53282",219+00567,41006,out,,,,,
219+00567,41006,Bangkok-Nonthaburi Road,ซอยกรุงเทพ-นนทบุรี 44,"13.82592, 100.53135",219+00567,41007,out,,,,,
219+00567,41007,Bangkok-Nonthaburi Road,แยกวงศ์สว่าง - 567,"13.82828, 100.52844",219+00567,,,,,,,
219-00639,22033,Wongsawang Road,แยกวงศ์สว่าง - 639,"13.82828, 100.52844",219-00639,22024,out,,,,,
219-00639,22024,Wongsawang Road,ดุสิตวิลลา,"13.82559, 100.52552",219-00639,22023,out,,,,,
219-00639,22023,Wongsawang Road,โรงเรียนชูธรรมานุสรณ์,"13.82161, 100.5211",219-00639,22022,out,,,,,
219-00639,22022,Wongsawang Road,ซอยวงศ์สว่าง 1,"13.81813, 100.51725",219-00639,22032,219-00661,35518,,,,
219-00639,22032,Wongsawang Road,สะพานพระราม 7-639,"13.80936, 100.51085",,,out,,,,,
219+00639,22032,Wongsawang Road,สะพานพระราม 7-639,"13.80936, 100.51085",219+00639,22022,219+02600,46771,,,,
219+00639,22022,Wongsawang Road,ซอยวงศ์สว่าง 1,"13.81813, 100.51725",219+00639,22023,,,,,,
219+00639,22023,Wongsawang Road,โรงเรียนชูธรรมานุสรณ์,"13.82161, 100.5211",219+00639,22024,,,,,,
219+00639,22024,Wongsawang Road,ดุสิตวิลลา,"13.82559, 100.52552",219+00639,22033,,,,,,
219+00639,22033,Wongsawang Road,แยกวงศ์สว่าง - 639,"13.82828, 100.52844",,,219+00640,22025,219-00567,41007,219-02960,47760
219-00640,22027,Ratchada Phisek Road,แยกประชานุกูล 640,"13.83041, 100.53921",219-00640,22026,out,,,,,
219-00640,22026,Ratchada Phisek Road,ซอยรัชดาภิเษก 74,"13.83083, 100.53346",219-00640,22025,out,,,,,
219-00640,22025,Ratchada Phisek Road,แยกวงศ์สว่าง 640,"13.82828, 100.52844",219-00640,,,,,,,
219+00640,22025,Ratchada Phisek Road,แยกวงศ์สว่าง 640,"13.82828, 100.52844",219+00640,22026,,,,,,
219+00640,22026,Ratchada Phisek Road,ซอยรัชดาภิเษก 74,"13.83083, 100.53346",219+00640,22027,,,,,,
219+00640,22027,Ratchada Phisek Road,แยกประชานุกูล 640,"13.83041, 100.53921",219+00640,22028,out,,,,,
219-00661,35518,Pracharat Sai1 Road,ถนนพิบูลสงครามตัดกับถนนพระรามที่ 7,"13.8156, 100.51518",219-00661,35517,,,,,,
219-00661,35517,Pracharat Sai1 Road,แยกประชาราษฎร์,"13.81463, 100.52095",219-00661,35516,,,,,,
219-00661,35516,Pracharat Sai1 Road,ประชาราษฎร์ สาย 1 ซอย 28,"13.81078, 100.5218",219-00661,35515,219+02629,46847,219-02630,46850,,
219-00661,35515,Pracharat Sai1 Road,แยกบางโพ 661,"13.80642, 100.52155",219-00661,35514,219+00566,40501,219-00566,40501,,
